draft_id,semester,subject_id,subject_code,subject_name,module_code,marks,category,type,difficulty,question_text,question_paper_year,exam_session,paper_set,paper_code,paper_pattern,source,source_file,part,original_question_no,keywords,verified,mapping_confidence,year_confidence,notes,source_review_note
sem3_qp_0001,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,07,15,Long Question,analytical,hard,"Elaborate on the procedure relating to children in conflict with law under the Juvenile Justice (Care and Protection of Children) Act, 2015.",2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q1,"Juvenile Justice, children in conflict with law",false,high,high,,
sem3_qp_0002,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,04,15,Long Question,analytical,hard,"What is bail? Explain the difference between bail and anticipatory bail as per Bharatiya Nagarik Suraksha Sanhita, 2023.",2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q2,"bail, anticipatory bail, BNSS",false,high,high,,
sem3_qp_0003,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,01,15,Long Question,analytical,hard,"Explain briefly the constitution of criminal courts under the Bharatiya Nagarik Suraksha Sanhita, 2023.",2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q3,"criminal courts, BNSS",false,high,high,,
sem3_qp_0004,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,03,15,Long Question,analytical,hard,Discuss the meaning and importance of the First Information Report. Discuss the evidentiary value of FIR in the course of trial.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q4,"FIR, evidentiary value",false,high,high,,
sem3_qp_0005,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,05,10,Long Question,analytical,medium,What is charge? Explain the provisions relating to joinder of charges.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q5,"charge, joinder of charges",false,high,high,,
sem3_qp_0006,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,05,10,Long Question,analytical,medium,Explain the difference between summons trial and summary trial.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q6,"summons trial, summary trial",false,high,high,,
sem3_qp_0007,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,06,10,Long Question,analytical,medium,Explain in detail the concept of parole system in India.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q7,parole,false,high,high,,
sem3_qp_0008,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,05,10,Long Question,analytical,medium,Write a detailed note on bar to take cognizance of certain offence after lapse of the period of limitation.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q8,"cognizance, limitation",false,high,high,,
sem3_qp_0009,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,03,10,Long Question,analytical,medium,What is arrest? Discuss the circumstances in which arrest of a person becomes necessary.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q9,arrest,false,high,high,,
sem3_qp_0010,sem3,criminal_procedure,LCC 0701,Law of Criminal Procedure,03,5,Short Note,short_note,easy,Inquiry and Investigation.,2025,Apr-2025,SPPU Apr 2025,PD-1988 / [6414]-101,2023 Pattern,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,Apr-2025 | 2nd_LLB_(3rd_Sem)_2023_Apri_2025 (1).pdf,A/B/C,Q10,"inquiry, investigation",false,high,high,,
